SF,TP,CL,len_CL,len_SF
3002562,1,1000001,1,11
3001155,1,1000003,1,11
3002161,1,1000000,1,11
3000362,1,1000001,1,11
3002411,1,1000001,1,11
3000862,1,1000001,1,11
3000338,1,1000003,1,11
3002222,1,1000003,1,11
3001213,1,1000000,1,11
3001331,1,1000002,1,11
3000912,1,1000003,1,11
3001443,1,1000002,1,11
3001377,1,1000003,1,11
3000498,1,1000001,1,11
3000637,1,1000001,1,11
3001951,1,1000000,1,11
3001851,1,1000003,1,11
3001823,1,1000004,1,11
3000527,1,1000002,1,10
3000947,1,1000002,1,10
3001524,1,1000003,1,10
3001525,1,1000003,1,10
3001529,1,1000003,1,10
3000743,1,1000004,1,10
3000396,1,1000003,1,10
3000399,1,1000003,1,10
3001274,1,1000000,1,10
3000475,1,1000002,1,10
3001856,1,1000003,1,10
3002424,1,1000001,1,10
3001158,1,1000003,1,10
3002566,1,1000003,1,10
3000112,1,1000002,1,10
3001279,1,1000000,1,10
3002026,1,1000001,1,10
3001418,1,1000003,1,10
3001363,1,1000003,1,10
3002184,1,1000001,1,10
3000848,1,1000001,1,10
3000351,1,1000001,1,10
3001821,1,1000001,1,10
3000890,1,1000000,1,10
3000814,1,1000004,1,10
3001458,1,1000003,1,10
3001786,1,1000000,1,10
3002258,1,1000003,1,10
3002155,1,1000001,1,10
3001892,1,1000003,1,10
3002130,1,1000000,1,10
3000183,1,1000003,1,10
3002044,1,1000001,1,10
3001366,1,1000003,1,10
3001033,1,1000003,1,10
3000632,1,1000003,1,10
3001043,1,1000003,1,10
3000522,1,1000002,1,10
3001075,1,1000002,1,10
3002691,1,1000004,1,10
3001681,1,1000001,1,10
3000538,1,1000002,1,10
3000655,1,1000002,1,10
3000215,1,1000004,1,10
3000219,1,1000001,1,10
3000456,1,1000001,1,10
3000051,1,1000002,1,10
3000455,1,1000003,1,10
3000003,1,1000002,1,9
3001758,1,1000002,1,9
3002177,1,1000000,1,9
3000379,1,1000001,1,9
3000774,1,1000003,1,9
3002334,1,1000002,1,9
3002281,1,1000001,1,9
3002594,1,1000001,1,9
3000665,1,1000003,1,9
3001532,1,1000002,1,9
3002279,1,1000003,1,9
3001319,1,1000001,1,9
3001412,1,1000001,1,9
3001081,1,1000002,1,9
3000054,1,1000002,1,9
3000299,1,1000001,1,9
3001883,1,1000001,1,9
3002037,1,1000004,1,9
3001868,1,1000004,1,9
3000766,1,1000003,1,9
3001499,1,1000003,1,9
3001760,1,1000000,1,9
3002294,1,1000000,1,9
3001262,1,1000003,1,9
3000895,1,1000003,1,9
3000625,1,1000003,1,9
3000228,1,1000004,1,9
3000603,1,1000002,1,9
3000847,1,1000003,1,9
3002538,1,1000004,1,9
3000213,1,1000001,1,9
3001044,1,1000001,1,9
3001296,1,1000001,1,9
3001391,1,1000001,1,9
3001028,1,1000004,1,9
3001160,1,1000003,1,9
3000867,1,1000003,1,9
3002108,1,1000000,1,9
3001619,1,1000000,1,9
3000390,1,1000001,1,9
3000354,1,1000001,1,9
3001194,1,1000003,1,9
3001110,1,1000000,1,9
3001393,1,1000000,1,9
3000423,1,1000003,1,9
3000489,1,1000004,1,9
3001230,1,1000003,1,9
3000121,1,1000001,1,9
3001407,1,1000003,1,9
3001788,1,1000002,1,9
3001732,1,1000003,1,9
3001299,1,1000000,1,8
3000307,1,1000004,1,8
3000502,1,1000001,1,8
3000041,1,1000002,1,8
3000336,1,1000003,1,8
3000903,1,1000002,1,8
3001431,1,1000003,1,8
3000878,1,1000002,1,8
3001927,1,1000001,1,8
3001389,1,1000003,1,8
3000353,1,1000003,1,8
3001935,1,1000003,1,8
3000579,1,1000003,1,8
3000490,1,1000003,1,8
3001410,1,1000000,1,8
3000488,1,1000001,1,8
3000607,1,1000002,1,8
3001062,1,1000004,1,8
3000896,1,1000002,1,8
3000608,1,1000003,1,8
3001317,1,1000003,1,8
3002272,1,1000001,1,8
3001026,1,1000000,1,8
3001527,1,1000001,1,8
3000726,1,1000000,1,8
3002540,1,1000003,1,8
3001260,1,1000002,1,8
3000537,1,1000000,1,8
3002301,1,1000000,1,8
3001839,1,1000000,1,8
3002541,1,1000001,1,8
3000734,1,1000002,1,8
3002046,1,1000001,1,8
3000442,1,1000002,1,8
3001457,1,1000003,1,8
3002387,1,1000003,1,8
3001862,1,1000003,1,8
3000512,1,1000003,1,8
3000679,1,1000000,1,8
3001214,1,1000001,1,8
3001606,1,1000003,1,8
3001668,1,1000003,1,8
3001759,1,1000003,1,8
3001510,1,1000004,1,8
3000300,1,1000002,1,8
3001263,1,1000000,1,8
3001656,1,1000002,1,8
3000696,1,1000003,1,8
3002292,1,1000003,1,8
3000683,1,1000002,1,8
3000504,1,1000001,1,8
3001866,1,1000001,1,8
3001939,1,1000000,1,8
3001472,1,1000003,1,8
3002535,1,1000001,1,7
3000864,1,1000003,1,7
3001003,1,1000000,1,7
3000180,1,1000001,1,7
3001889,1,1000004,1,7
3002221,1,1000001,1,7
3000335,1,1000003,1,7
3001115,1,1000001,1,7
3002573,1,1000001,1,7
3000874,1,1000003,1,7
3001183,1,1000000,1,7
3001290,1,1000002,1,7
3000103,1,1000001,1,7
3001052,1,1000003,1,7
3001295,1,1000001,1,7
3000200,1,1000000,1,7
3000107,1,1000002,1,7
3001308,1,1000000,1,7
3002276,1,1000000,1,7
3001917,1,1000001,1,7
3000936,1,1000003,1,7
3002708,1,1000000,1,7
3000863,1,1000003,1,7
3001087,1,1000003,1,7
3001097,1,1000000,1,7
3000287,1,1000000,1,7
3000285,1,1000001,1,7
3001239,1,1000003,1,7
3000207,1,1000002,1,7
3002353,1,1000003,1,7
3001840,1,1000003,1,7
3000893,1,1000000,1,7
3002223,1,1000000,1,7
3000930,1,1000000,1,7
3001814,1,1000000,1,7
3002045,1,1000001,1,7
3000024,1,1000001,1,7
3000827,1,1000003,1,7
3002023,1,1000000,1,7
3000759,1,1000003,1,7
3000810,1,1000001,1,7
3000609,1,1000002,1,7
3001651,1,1000000,1,7
3001648,1,1000002,1,7
3000081,1,1000000,1,7
3000611,1,1000004,1,7
3002151,1,1000000,1,7
3001639,1,1000003,1,7
3001493,1,1000001,1,7
3000796,1,1000001,1,7
3001945,1,1000003,1,7
3000416,1,1000001,1,7
3000415,1,1000004,1,7
3002106,1,1000001,1,7
3000791,1,1000002,1,7
3002122,1,1000000,1,7
3002050,1,1000001,1,7
3002112,1,1000001,1,7
3000464,1,1000003,1,7
3001455,1,1000001,1,7
3002001,1,1000001,1,7
3001754,1,1000003,1,7
3001566,1,1000001,1,7
3000849,1,1000004,1,7
3001989,1,1000001,1,7
